,id,operation_time,code,category,timeout,answer,status
347,348,2020-01-26 01:15:36.933049,111-14753-2,None,0.747816,bisys.UnknownAccountException: BIS-01640: Unknown ПОЗЫВНОЙ 1,OK
348,349,2020-01-26 01:15:37.418265,111-14753-1,None,0.467546,"--SUCCESS--Такси Люкс, Эконом 6-00-00(id:11831, code:111-14753-1)properties:{ПОЗЫВНОЙ=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
349,350,2020-01-26 01:15:37.484457,13542-14043-4,None,0.046012,PaymentPropertyException: BIS-01275: Incorrect payment property Телефон 8-: обязательно для заполнения,Format
350,351,2020-01-26 01:15:37.874234,111-14745-1,None,0.371564,"--SUCCESS--ГК ""Стифкор"" ул. С.Садыковой 63а(id:11855, code:111-14745-1)properties:{НОМЕР_ЗАКАЗА=11111}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
351,352,2020-01-26 01:15:37.939542,111-14741-4,None,0.046111,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
352,353,2020-01-26 01:15:38.004552,111-14741-3,None,0.045876,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
353,354,2020-01-26 01:15:38.069382,111-14741-2,None,0.045061,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
354,355,2020-01-26 01:15:38.133435,111-14741-1,None,0.04482,PaymentPropertyException: BIS-01275: Incorrect payment property ФИО: обязательно для заполнения,Format
355,356,2020-01-26 01:15:40.312104,111-14714-2,None,2.163013,"--SUCCESS--TAXI 7(id:11800, code:111-14714-2)properties:{ПОЗЫВНОЙ=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
356,357,2020-01-26 01:15:40.785594,111-14740-1,None,0.45452,"--SUCCESS--ВУЗ59(id:11799, code:111-14740-1)properties:{НОМЕР ЗАКАЗА=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
357,358,2020-01-26 01:15:41.085036,111-14737-1,None,0.277143,"--SUCCESS--ООО Вояж(id:11790, code:111-14737-1)properties:{ФИО=1}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
358,359,2020-01-26 01:15:41.565555,111-14732-1,None,0.461022,"--SUCCESS--Экстрим Интернет(id:11944, code:111-14732-1)properties:{Л_СЧЕТ=11}PersAccInfo2{desiredAmount=0, needShowBill=false, property={}, provider=null}",OK
